Site,Store,Brand,Pattern,Size,Type,Price
www.dexel.co.uk,Attercliffe (Sheffield) Branch,YOKOHAMA,YOKOHAMA ADVAN FLEVA V701,205/55R16 91W,['SUMMER'],92.29
www.dexel.co.uk,Attercliffe (Sheffield) Branch,DUNLOP,DUNLOP ALL SEASON 2,205/55R16 91V,['ALL SEASON'],92.53
www.dexel.co.uk,Attercliffe (Sheffield) Branch,DUNLOP,DUNLOP SPORT ALL SEASON,205/55R16 91V,['ALL SEASON'],92.53
www.dexel.co.uk,Attercliffe (Sheffield) Branch,GOODYEAR,GOODYEAR EFFICIENTGRIP PERFORMANCE,205/55R16 91H,['SUMMER'],92.84
www.dexel.co.uk,Attercliffe (Sheffield) Branch,GOODYEAR,GOODYEAR EFFICIENTGRIP PERFORMANCE VW,205/55R16 91H,['SUMMER'],92.84
www.dexel.co.uk,Attercliffe (Sheffield) Branch,VREDESTEIN,VREDESTEIN QUATRAC,205/55R16 91V,['ALL SEASON'],93.26
www.dexel.co.uk,Attercliffe (Sheffield) Branch,GOODYEAR,GOODYEAR EFFICIENTGRIP PERFORMANCE,205/55R16 91V,['SUMMER'],93.38
www.dexel.co.uk,Attercliffe (Sheffield) Branch,GOODYEAR,GOODYEAR EFFICIENTGRIP PERFORMANCE,205/55R16 91V,['SUMMER'],93.38
www.dexel.co.uk,Attercliffe (Sheffield) Branch,GOODYEAR,GOODYEAR EFFICIENTGRIP PERFORMANCE 2,205/55R16 91V,['SUMMER'],93.38
www.dexel.co.uk,Attercliffe (Sheffield) Branch,PIRELLI,PIRELLI CINTURATO P7,205/55R16 91V,['SUMMER'],93.42
www.dexel.co.uk,Attercliffe (Sheffield) Branch,YOKOHAMA,YOKOHAMA BLUEARTH-4S AW21,205/55R16 91V,['ALL SEASON'],93.60
www.dexel.co.uk,Attercliffe (Sheffield) Branch,UNIROYAL,UNIROYAL ALLSEASON EXPERT 2,205/55R16 91H,['ALL SEASON'],93.86
www.dexel.co.uk,Attercliffe (Sheffield) Branch,UNIROYAL,UNIROYAL ALLSEASON EXPERT 3,205/55R16 91H,['ALL SEASON'],93.86
